,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Wind Speed,Max Temp,Temperature,Min Temp
101,deputatskiy,94,RU,1563758933,92,69.3,139.9,10.76,34.23,34.23,34.23
102,nuuk,100,GL,1563759137,93,64.17,-51.74,3.36,44.6,44.29,44.01
103,yangjiang,76,CN,1563759138,74,21.85,111.96,4.25,86.0,86.0,86.0
104,mabaruma,77,GY,1563759138,98,8.2,-59.78,2.75,72.11,72.11,72.11
105,yenagoa,74,NG,1563759138,95,4.92,6.26,3.71,73.91,73.91,73.91
106,bethel,90,US,1563759139,72,60.79,-161.76,6.93,60.8,59.56,57.2
107,burnie,84,AU,1563759139,80,-41.05,145.91,14.0,55.99,55.99,55.99
108,touros,2,BR,1563758878,81,-5.2,-35.46,23.02,77.61,77.61,77.61
109,boyolangu,20,ID,1563759140,62,-8.09,111.9,6.87,78.95,78.95,78.95
110,ahuimanu,20,US,1563759140,83,21.44,-157.84,14.99,87.8,84.16,78.8
111,qaqortoq,88,GL,1563759140,75,60.72,-46.03,5.82,46.4,46.4,46.4
112,pangody,68,RU,1563759141,46,65.85,74.49,7.07,68.15,68.15,68.15
113,mount isa,75,GB,1563759077,93,53.66,-1.85,11.41,66.2,63.57,60.8
114,puerto pinasco,0,AR,1563759141,64,-51.62,-69.23,17.22,35.6,35.6,35.6
115,fairbanks,1,US,1563758705,38,64.84,-147.72,10.29,77.0,74.79,73.0
116,buala,100,SB,1563759142,73,-8.15,159.59,12.21,82.55,82.55,82.55
117,kargopol,0,RU,1563759142,86,61.51,38.95,3.27,52.85,52.85,52.85
118,kikwit,0,CD,1563759143,38,-5.04,18.82,2.24,73.01,73.01,73.01
119,mar del plata,100,CN,1563759143,71,29.86,90.73,3.98,44.39,44.39,44.39
120,aleksandrov gay,42,RU,1563759143,92,56.4,38.71,3.13,56.27,56.27,56.27
121,khudumelapye,0,BW,1563759144,90,-23.91,24.95,11.16,42.41,42.41,42.41
122,ushtobe,0,KZ,1563759144,23,45.25,77.98,4.63,86.33,86.33,86.33
123,hasaki,75,JP,1563759144,94,35.73,140.83,4.7,73.4,72.05,69.8
124,lebu,98,ET,1563759145,88,8.96,38.73,0.27,54.29,54.29,54.29
125,hithadhoo,0,MV,1563758852,78,-0.6,73.08,13.18,82.47,82.47,82.47
126,qaanaaq,100,GL,1563758904,88,77.48,-69.36,1.92,38.55,38.55,38.55
127,vao,0,EE,1563759145,68,59.1,26.19,6.02,58.97,58.97,58.97
128,yellowknife,75,CA,1563759146,53,62.45,-114.38,11.41,73.4,73.4,73.4
129,aklavik,90,CA,1563759146,63,68.22,-135.01,6.93,64.4,64.4,64.4
130,galveston,90,US,1563759146,94,40.58,-86.19,8.05,73.99,72.43,71.01
131,lasa,0,CY,1563759147,68,34.92,32.53,5.82,75.2,71.31,69.01
132,tuatapere,94,NZ,1563759147,98,-46.13,167.69,1.01,50.0,50.0,50.0
133,virginia beach,40,US,1563759147,83,39.95,-90.21,3.36,82.4,79.9,75.99
134,rivadavia,60,AR,1563758933,50,-31.53,-68.59,0.94,41.61,41.61,41.61
135,bubaque,61,GW,1563759148,84,11.28,-15.83,13.98,79.67,79.67,79.67
136,gamba,16,CN,1563759148,56,28.28,88.52,3.27,47.99,47.99,47.99
137,luganville,75,VU,1563759148,61,-15.51,167.18,12.75,78.8,78.8,78.8
138,funchal,99,BR,1563759149,68,-19.3,-45.9,5.99,64.0,64.0,64.0
139,hamilton,40,CA,1563758884,53,43.26,-79.87,8.05,80.01,75.51,70.0
140,kaitangata,73,NZ,1563759008,93,-46.28,169.85,5.99,46.99,46.99,46.99
141,vostok,96,RU,1563759150,63,46.45,135.83,5.95,75.53,75.53,75.53
142,clinton,1,US,1563759150,70,41.28,-72.53,4.7,89.01,83.28,78.8
143,port augusta,0,CD,1563759150,48,-7.04,29.76,3.33,55.19,55.19,55.19
144,faanui,0,PF,1563759150,80,-16.48,-151.75,19.53,78.59,78.59,78.59
145,nagato,75,JP,1563759151,100,34.35,131.14,3.36,80.01,76.75,75.2
146,okhotsk,0,RU,1563759151,45,59.36,143.24,3.51,70.49,70.49,70.49
147,carballo,1,ES,1563759126,93,43.21,-8.69,2.24,68.0,64.53,60.8
148,atar,0,MR,1563759151,19,20.52,-13.05,16.08,94.79,94.79,94.79
149,ukrayinka,0,UA,1563759152,56,44.96,34.06,2.73,66.35,66.35,66.35
150,kavaratti,100,IN,1563758720,76,10.57,72.64,24.56,82.29,82.29,82.29
151,shimoda,75,JP,1563759152,88,34.7,138.93,6.93,84.2,81.91,80.6
152,halifax,90,CA,1563758859,94,44.65,-63.58,13.87,72.0,69.39,66.0
153,eqbaliyeh,0,IR,1563759153,22,35.3,51.54,6.93,89.6,88.09,87.01
154,rozhyshche,100,UA,1563759153,87,50.92,25.27,6.15,64.99,64.99,64.99
155,kruisfontein,0,ZA,1563758926,26,-34.0,24.73,13.15,53.13,53.13,53.13
156,ugep,71,NG,1563759154,95,5.81,8.08,3.53,72.83,72.83,72.83
157,hovd,75,NO,1563758993,87,63.83,10.7,16.11,55.99,55.29,54.0
158,mount gambier,75,GB,1563759077,93,53.66,-1.85,11.41,66.2,63.57,60.8
159,isangel,75,VU,1563759005,53,-19.55,169.27,9.17,75.2,75.2,75.2
160,balabac,54,PH,1563759155,66,7.99,117.06,8.19,86.87,86.87,86.87
161,maldonado,75,UY,1563759155,60,-34.91,-54.96,17.22,75.2,75.2,75.2
162,trinidad,24,BO,1563759018,57,-14.83,-64.9,4.52,77.87,77.87,77.87
163,georgetown,0,GY,1563759156,94,6.8,-58.16,4.7,77.0,77.0,77.0
164,houma,88,CN,1563759156,63,35.63,111.36,4.43,83.45,83.45,83.45
165,baruun-urt,100,MN,1563759156,60,46.68,113.28,15.23,74.09,74.09,74.09
166,natchitoches,40,US,1563759156,94,31.76,-93.09,4.7,79.0,76.91,75.2
167,beringovskiy,100,RU,1563759157,85,63.05,179.32,11.83,48.71,48.71,48.71
168,bardstown,1,US,1563759157,83,37.81,-85.47,6.17,84.2,79.84,75.0
169,prince rupert,1,CA,1563759157,50,52.97,-108.38,6.93,75.2,75.07,75.0
170,adrar,0,DZ,1563759158,16,27.87,-0.29,18.34,96.8,96.8,96.8
171,nanortalik,98,GL,1563758908,93,60.14,-45.24,2.91,38.55,38.55,38.55
172,arraial do cabo,0,BR,1563759158,59,-22.84,-46.65,4.7,64.4,60.57,59.0
173,porto novo,0,PT,1563759027,93,41.15,-8.61,8.05,68.0,64.15,59.0
174,bonthe,55,SL,1563759159,90,7.53,-12.5,8.19,75.71,75.71,75.71
175,port shepstone,0,CD,1563759118,48,-7.04,29.76,3.33,55.19,55.19,55.19
176,kodiak,90,US,1563759159,94,39.95,-94.76,12.75,73.99,71.89,70.0
177,kindu,33,CD,1563758909,73,-2.95,25.92,2.19,71.67,71.67,71.67
178,biloela,32,AU,1563759159,42,-24.4,150.51,3.76,70.85,70.85,70.85
179,ribeira grande,0,PT,1563759160,82,41.76,-8.56,1.12,69.01,65.79,61.0
180,barra,40,GM,1563759160,83,13.49,-16.54,4.7,80.6,80.6,80.6
181,high level,1,US,1563759161,46,33.61,-95.75,4.7,89.6,86.97,84.0
182,nadym,62,RU,1563759161,47,65.53,72.51,10.31,73.55,73.55,73.55
183,abu zabad,75,JP,1563759161,79,34.51,131.49,4.7,84.2,77.34,75.2
184,jaru,100,BR,1563759162,66,-10.43,-62.48,0.94,74.81,74.81,74.81
185,taoudenni,20,ML,1563759162,26,22.68,-3.98,9.8,96.23,96.23,96.23
186,kushima,75,JP,1563759162,94,31.5,131.29,2.24,82.99,79.21,77.0
187,san patricio,77,ML,1563759163,83,13.3,-4.9,10.07,76.97,76.97,76.97
188,calvinia,0,ZA,1563759163,31,-31.47,19.78,12.06,49.79,49.79,49.79
189,sumenep,100,ID,1563759163,42,-7.02,113.87,8.63,87.23,87.23,87.23
190,srednekolymsk,100,RU,1563759164,91,67.46,153.71,10.56,38.99,38.99,38.99
191,port macquarie,0,CD,1563759164,48,-7.04,29.76,3.33,55.19,55.19,55.19
192,honavar,100,IN,1563759164,84,14.28,74.45,18.97,80.39,80.39,80.39
193,port elizabeth,0,CD,1563759150,48,-7.04,29.76,3.33,55.19,55.19,55.19
194,simpang,53,ID,1563759164,52,4.36,96.17,0.81,88.13,88.13,88.13
195,salinopolis,8,BR,1563759165,80,-0.61,-47.36,15.95,80.75,80.75,80.75
196,tuktoyaktuk,90,CA,1563759165,76,69.44,-133.03,8.05,53.6,53.6,53.6
197,waingapu,80,ID,1563758984,73,-9.65,120.26,6.51,73.11,73.11,73.11
198,torbay,90,CA,1563759166,100,47.66,-52.73,16.11,50.0,49.39,48.0
199,dubti,93,ET,1563759166,36,11.74,41.09,2.39,90.11,90.11,90.11
200,pierre,1,US,1563759152,68,44.37,-100.35,9.17,73.0,70.7,68.0
201,itarema,0,BR,1563759166,83,-2.92,-39.92,6.69,73.01,73.01,73.01
202,tshela,31,CD,1563759167,98,-4.99,12.94,2.08,66.53,66.53,66.53
203,menongue,0,AO,1563759167,31,-14.66,17.68,4.38,46.91,46.91,46.91
204,margate,75,AU,1563759167,54,-43.03,147.26,18.34,60.01,58.6,57.0
205,wukari,100,NG,1563759167,93,7.87,9.78,6.93,73.19,73.19,73.19
206,les cayes,11,FR,1563759168,84,42.81,0.71,5.01,73.0,71.64,70.0
207,kijang,100,KR,1563759168,74,35.24,129.21,1.12,82.4,82.4,82.4
208,talnakh,0,RU,1563758903,46,69.49,88.39,6.71,69.8,69.8,69.8
209,bac lieu,0,RS,1563759169,77,45.39,19.24,5.82,72.0,69.64,66.2
210,paramonga,78,PE,1563759169,90,-10.68,-77.82,9.37,61.13,61.13,61.13
211,morondava,0,MG,1563759169,62,-20.3,44.28,19.62,63.83,63.83,63.83
212,chapais,20,CA,1563759170,62,49.78,-74.86,4.7,55.4,55.4,55.4
213,nowy dwor gdanski,40,RU,1563759170,93,54.75,20.62,6.71,60.8,60.8,60.8
214,cherskiy,100,RU,1563758908,94,68.75,161.3,15.03,36.75,36.75,36.75
215,liverpool,40,GB,1563759170,88,53.41,-2.98,11.41,69.01,65.34,62.01
216,naryan-mar,57,RU,1563759171,73,67.67,53.09,8.28,48.89,48.89,48.89
217,oromocto,1,CA,1563759171,93,45.85,-66.47,6.93,69.01,65.82,64.0
218,gawler,0,AU,1563759171,47,-34.6,138.75,21.92,61.0,59.36,55.99
219,yulara,0,AU,1563758991,29,-25.24,130.99,8.05,62.6,62.6,62.6
220,formoso do araguaia,26,BR,1563759172,70,-14.95,-46.23,5.32,61.85,61.85,61.85
221,barahona,23,DO,1563759172,73,18.21,-71.1,2.98,74.45,74.45,74.45
222,namibe,32,AO,1563759172,83,-15.19,12.15,12.5,66.89,66.89,66.89
223,carnarvon,0,ZA,1563759173,36,-30.97,22.13,13.8,42.59,42.59,42.59
224,mongo,0,CD,1563759173,90,-5.62,14.6,4.5,65.09,65.09,65.09
225,koslan,22,RU,1563759174,91,63.46,48.9,7.72,56.09,56.09,56.09
226,cacapava do sul,0,BR,1563759174,87,-23.1,-45.71,2.24,59.0,57.2,55.4
227,tazovskiy,54,RU,1563759174,84,67.47,78.7,9.01,57.53,57.53,57.53
228,komsomolskiy,95,RU,1563758994,83,67.55,63.78,14.2,54.03,54.03,54.03
229,siemiatycze,0,PL,1563759175,89,52.43,22.86,1.01,61.0,61.0,61.0
230,juneau,75,US,1563759053,72,58.3,-134.42,6.93,68.0,65.86,64.4
231,aden,0,YE,1563759129,56,12.79,45.03,7.47,87.23,87.23,87.23
232,noshiro,75,JP,1563759175,73,40.21,140.05,2.24,77.0,77.0,77.0
233,half moon bay,75,LR,1563759176,94,6.38,-10.7,5.82,77.0,77.0,77.0
234,vigia del fuerte,0,PT,1563759176,93,40.51,-8.69,2.24,66.99,62.82,59.0
235,geraldton,20,CA,1563759176,48,49.72,-86.95,6.93,64.4,64.4,64.4
236,bouca,7,CF,1563759176,97,6.51,18.28,3.42,66.53,66.53,66.53
237,nelson bay,0,CA,1563759177,56,49.49,-117.29,1.16,64.01,64.01,64.01
238,padang,12,ID,1563759177,78,-0.92,100.36,6.35,80.75,80.75,80.75
239,kieta,100,PG,1563759175,92,-6.22,155.63,17.25,77.87,77.87,77.87
240,barra do garcas,40,GM,1563759177,83,13.49,-16.54,4.7,80.6,80.6,80.6
241,calamar,74,CO,1563759178,93,1.96,-72.65,0.27,70.49,70.49,70.49
242,hay river,0,AU,1563759178,43,-34.51,144.84,12.95,61.13,61.13,61.13
243,kalulushi,0,ZM,1563759178,83,-12.84,28.09,4.74,47.09,47.09,47.09
244,nome,54,US,1563759179,94,30.04,-94.42,6.04,84.99,81.07,75.99
245,luwuk,0,ID,1563759179,66,-0.95,122.79,5.64,72.65,72.65,72.65
246,portland,90,US,1563758657,65,43.66,-70.25,6.93,81.0,76.5,73.0
247,berlevag,89,NO,1563759179,78,70.86,29.09,16.98,55.55,55.55,55.55
248,husavik,0,CA,1563759180,80,50.56,-96.99,8.79,60.59,60.59,60.59
249,souillac,0,FR,1563759180,72,45.6,-0.6,4.7,68.0,64.22,60.01
250,boueni,0,YT,1563759180,69,-12.9,45.08,32.21,77.0,77.0,77.0
251,undory,0,RU,1563759180,100,54.61,48.39,9.44,57.2,57.2,57.2
252,moerai,75,PF,1563759181,82,-22.43,-151.33,22.1,73.19,73.19,73.19
253,kaz,67,RU,1563759181,55,53.11,87.55,1.28,67.43,67.43,67.43
254,oshawa,1,CA,1563759045,49,43.92,-78.86,5.82,78.8,74.8,69.8
255,ignatovka,0,RU,1563759181,92,53.95,47.65,8.21,58.97,58.97,58.97
256,santana do acarau,40,BR,1563759182,78,-0.06,-51.18,9.17,82.4,82.4,82.4
257,dire dawa,98,ET,1563759182,88,9.18,38.92,0.27,54.29,54.29,54.29
258,nanchang,2,CN,1563759182,82,28.68,115.89,5.95,86.51,86.51,86.51
259,coquimbo,40,CL,1563759183,87,-29.95,-71.34,4.7,51.8,51.8,51.8
260,edgewater,20,US,1563759183,83,28.99,-80.9,6.93,81.0,75.78,73.0
261,erenhot,98,CN,1563759183,47,43.65,111.97,19.46,79.67,79.67,79.67
262,praya,20,ID,1563759184,74,-8.71,116.27,12.75,78.8,78.8,78.8
263,kosino,0,PL,1563759184,93,52.56,19.93,4.7,62.01,60.19,59.0
264,mayo,75,CA,1563758937,26,63.59,-135.9,6.93,80.6,80.6,80.6
265,dukat,14,AL,1563759184,55,40.25,19.57,4.59,77.0,75.0,73.0
266,pacific grove,1,US,1563759185,27,47.26,-122.25,7.18,90.0,85.28,79.0
267,sambava,59,MG,1563759185,97,-14.27,50.17,2.89,65.27,65.27,65.27
268,kaitong,0,CN,1563759185,39,44.81,123.15,5.57,86.87,86.87,86.87
269,jardim,33,BR,1563758910,36,-21.48,-56.15,11.34,74.91,74.91,74.91
270,thompson,40,CA,1563758905,38,55.74,-97.86,10.29,77.0,77.0,77.0
271,ayan,20,IR,1563759186,43,38.23,44.7,4.56,73.4,73.4,73.4
272,romilly-sur-seine,0,FR,1563759186,77,48.52,3.72,3.83,64.4,58.66,53.01
273,belyy yar,0,RU,1563759187,92,55.83,32.94,1.32,56.81,56.81,56.81
274,north branch,100,NG,1563759187,93,4.97,7.66,6.13,73.91,73.91,73.91
275,caravelas,75,BR,1563759187,77,-17.73,-39.27,12.35,71.93,71.93,71.93
276,goure,73,NE,1563759187,68,13.98,10.27,5.23,78.95,78.95,78.95
277,sahagun,40,CO,1563759188,83,8.95,-75.44,8.16,84.2,84.2,84.2
278,vorontsovka,0,RU,1563759188,84,50.61,40.34,3.44,62.21,62.21,62.21
279,gwadar,0,PK,1563759188,74,25.12,62.33,1.74,82.01,82.01,82.01
280,sayyan,41,YE,1563759189,58,15.17,44.32,1.59,74.81,74.81,74.81
281,tayoltita,100,MX,1563759189,98,24.11,-105.93,1.92,65.99,65.99,65.99
282,kavieng,24,PG,1563759189,68,-2.57,150.8,5.55,83.81,83.81,83.81
283,camopi,66,GF,1563759189,99,3.17,-52.33,1.97,69.77,69.77,69.77
284,zhigalovo,100,RU,1563759190,41,54.81,105.15,1.59,80.03,80.03,80.03
285,nemuro,75,JP,1563759190,77,43.32,145.57,10.29,64.4,64.4,64.4
286,safonovo,0,RU,1563759190,91,55.11,33.24,0.87,56.27,56.27,56.27
287,lagoa,0,PT,1563759191,78,37.14,-8.45,5.82,75.0,73.67,71.6
288,labuhan,0,ID,1563759191,43,-2.54,115.51,2.84,87.95,87.95,87.95
289,kon tum,40,CI,1563759191,94,5.22,-3.39,6.93,77.0,77.0,77.0
290,chokurdakh,100,RU,1563759191,83,70.62,147.9,16.78,39.17,39.17,39.17
291,richards bay,40,US,1563759192,64,46.84,-95.91,5.82,71.6,69.69,68.0
292,hojslev,100,DK,1563759192,100,56.59,9.14,5.82,59.0,55.62,53.6
293,coihaique,0,CL,1563759192,69,-45.58,-72.07,3.24,35.6,33.6,32.0
294,hudiksvall,100,SE,1563759193,97,61.73,17.1,2.24,56.99,56.99,56.99
295,manaus,0,BR,1563759002,65,-3.13,-59.98,6.93,84.2,83.52,82.4
296,ust-nera,41,RU,1563759193,47,64.57,143.24,10.29,45.65,45.65,45.65
297,plettenberg bay,100,DE,1563759193,93,51.21,7.87,5.82,64.99,58.35,53.01
298,price,1,US,1563759194,9,39.6,-110.81,6.93,91.4,87.69,79.0
299,porto belo,0,PT,1563759148,93,41.15,-8.61,8.05,68.0,64.06,59.0
300,kanniyakumari,100,IN,1563759194,78,8.08,77.57,24.11,79.31,79.31,79.31
301,caruray,75,PH,1563759195,70,10.31,119.01,4.7,86.0,86.0,86.0
302,sibolga,92,ID,1563759195,78,1.74,98.78,6.46,80.03,80.03,80.03
303,aswan,0,EG,1563759195,28,24.09,32.9,13.87,86.0,86.0,86.0
304,sao paulo de olivenca,11,IN,1563759196,75,20.51,76.21,9.84,81.47,81.47,81.47
305,ahipara,65,NZ,1563759181,96,-35.17,173.16,1.01,64.99,64.99,64.99
306,narsaq,88,GL,1563759196,75,60.91,-46.05,5.82,46.4,46.4,46.4
307,itoman,75,JP,1563759182,66,26.12,127.67,10.29,87.8,86.25,82.4
308,port-gentil,55,GA,1563758991,83,-0.72,8.78,15.08,76.35,76.35,76.35
309,athabasca,100,CA,1563759127,85,54.72,-113.29,5.26,65.09,65.09,65.09
310,poum,0,MK,1563759197,82,41.28,20.71,3.36,59.0,59.0,59.0
311,makokou,100,GA,1563759197,98,0.56,12.85,4.32,67.79,67.79,67.79
312,khlevnoye,15,RU,1563759198,92,54.57,39.32,2.06,53.01,51.13,48.99
313,sao domingos,11,IN,1563759196,75,20.51,76.21,9.84,81.47,81.47,81.47
314,bathsheba,40,BB,1563759198,78,13.22,-59.52,14.99,80.6,79.7,79.0
315,shache,43,CN,1563759198,14,38.42,77.24,14.52,88.85,88.85,88.85
